OpenTime,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,TakerBuyBaseVolume,TakerBuyQuoteVolume
2022-01-05 00:00:00,167.74,168.38,167.71,168.26,1143.57,192217.5224,241,905.92,152286.3815
2022-01-05 00:01:00,168.22,168.28,167.55,167.55,686.89,115302.4144,217,110.83,18611.6865
2022-01-05 00:02:00,167.64,167.73,167.39,167.4,823.47,137949.0489,278,226.95,38024.9816
2022-01-05 00:03:00,167.4,167.7,167.33,167.55,672.63,112671.9172,204,396.05,66331.3108
2022-01-05 00:04:00,167.56,167.61,167.37,167.44,847.85,142012.83,175,324.54,54357.5392
2022-01-05 00:05:00,167.46,167.72,167.3,167.3,605.91,101505.2854,207,208.71,34988.9621
2022-01-05 00:06:00,167.32,167.49,167.17,167.34,2265.36,379119.903,390,1642.98,275000.2425
2022-01-05 00:07:00,167.38,167.88,167.38,167.88,969.74,162615.3705,238,616.12,103308.8671
2022-01-05 00:08:00,167.9,167.97,167.69,167.76,573.65,96252.5864,155,392.25,65816.404
2022-01-05 00:09:00,167.78,167.9,167.72,167.84,597.44,100259.2596,111,295.99,49677.7261
2022-01-05 00:10:00,167.79,167.81,167.61,167.75,285.9,47949.9173,95,136.68,22919.9622
2022-01-05 00:11:00,167.79,168.23,167.65,168.19,600.36,100849.1226,190,431.24,72432.137
2022-01-05 00:12:00,168.19,168.31,167.95,167.98,732.08,123092.2345,201,113.92,19160.0625
2022-01-05 00:13:00,167.97,168.26,167.94,168.2,455.04,76454.1138,121,317.46,53341.2098
2022-01-05 00:14:00,168.2,168.35,168.18,168.24,283.74,47746.815,111,72.12,12137.5001
2022-01-05 00:15:00,168.23,168.42,168.12,168.36,507.5,85410.0051,129,256.3,43133.836
2022-01-05 00:16:00,168.34,168.53,168.34,168.49,938.45,158102.1826,204,697.7,117545.2287
2022-01-05 00:17:00,168.49,168.54,168.39,168.53,453.97,76480.0567,122,182.25,30706.3453
2022-01-05 00:18:00,168.53,168.53,168.32,168.46,317.82,53523.6513,105,174.35,29365.9969
2022-01-05 00:19:00,168.46,168.59,168.44,168.44,522.04,87971.9979,139,289.9,48856.5809
2022-01-05 00:20:00,168.43,168.43,168.0,168.11,1574.24,264636.5703,239,142.22,23926.9894
2022-01-05 00:21:00,168.11,168.2,167.93,168.05,925.89,155558.4457,184,315.05,52944.0673
2022-01-05 00:22:00,168.05,168.2,167.97,168.08,420.99,70769.1274,112,226.1,38001.6613
2022-01-05 00:23:00,168.06,168.12,167.98,168.07,203.72,34234.9126,70,91.8,15425.8668
2022-01-05 00:24:00,168.07,168.19,168.07,168.1,493.0,82885.3828,136,366.84,61676.5624
2022-01-05 00:25:00,168.1,168.15,167.92,167.97,404.07,67890.8179,134,308.04,51756.577
2022-01-05 00:26:00,167.92,168.0,167.78,167.87,439.2,73715.3708,113,139.61,23435.4094
2022-01-05 00:27:00,167.9,167.92,167.62,167.62,250.31,42003.4494,123,115.78,19426.9367
2022-01-05 00:28:00,167.63,167.67,167.53,167.56,691.85,115945.388,138,433.08,72581.7565
2022-01-05 00:29:00,167.57,167.62,167.46,167.62,207.14,34705.8625,105,89.27,14957.4581
2022-01-05 00:30:00,167.64,167.93,167.6,167.9,414.25,69484.6636,128,266.68,44729.2511
2022-01-05 00:31:00,167.9,168.17,167.87,168.17,492.89,82842.3102,135,229.55,38581.301
2022-01-05 00:32:00,168.16,168.39,168.08,168.36,1099.12,184840.0456,119,186.6,31393.71
2022-01-05 00:33:00,168.36,168.36,168.03,168.17,434.17,73025.8745,115,172.64,29041.8535
2022-01-05 00:34:00,168.18,168.26,168.17,168.23,208.8,35125.7672,108,147.19,24761.0673
2022-01-05 00:35:00,168.19,168.54,168.19,168.5,355.27,59826.0267,161,242.37,40807.9315
2022-01-05 00:36:00,168.51,168.51,168.26,168.3,271.46,45705.4445,90,76.84,12935.1269
2022-01-05 00:37:00,168.32,168.45,168.3,168.44,519.19,87426.7753,136,277.83,46785.8456
2022-01-05 00:38:00,168.43,168.51,168.35,168.43,219.01,36892.223,73,67.04,11291.2016
2022-01-05 00:39:00,168.44,168.61,168.38,168.46,667.97,112566.1915,144,506.92,85428.7685
2022-01-05 00:40:00,168.46,168.49,168.34,168.44,340.0,57250.4176,84,196.47,33082.2578
2022-01-05 00:41:00,168.45,168.51,168.31,168.34,319.6,53813.6894,95,137.35,23129.9565
2022-01-05 00:42:00,168.34,168.4,168.33,168.38,189.87,31969.2181,57,90.77,15283.7773
2022-01-05 00:43:00,168.39,168.46,168.35,168.35,227.45,38308.5887,70,94.24,15872.4384
2022-01-05 00:44:00,168.32,168.42,168.27,168.27,263.57,44368.53,81,100.02,16837.8476
2022-01-05 00:45:00,168.26,168.42,168.25,168.31,564.23,94970.4149,120,195.98,32983.0761
2022-01-05 00:46:00,168.31,168.49,168.3,168.4,356.97,60127.2937,82,104.14,17539.084
2022-01-05 00:47:00,168.42,168.54,168.34,168.42,556.35,93703.8111,96,181.52,30577.281
2022-01-05 00:48:00,168.42,168.56,168.4,168.41,408.29,68787.4923,111,284.22,47885.325
2022-01-05 00:49:00,168.41,168.48,168.4,168.45,210.38,35434.9851,53,66.04,11122.6954
2022-01-05 00:50:00,168.46,168.5,168.39,168.45,112.15,18892.371,69,33.06,5569.2029
2022-01-05 00:51:00,168.48,168.48,168.37,168.39,143.46,24160.3233,53,20.33,3423.9443
2022-01-05 00:52:00,168.38,168.38,168.19,168.25,300.59,50580.2751,105,194.42,32714.7284
2022-01-05 00:53:00,168.24,168.37,168.18,168.33,351.19,59104.8434,94,176.24,29662.3557
2022-01-05 00:54:00,168.35,168.49,168.35,168.45,318.75,53689.4586,97,126.39,21289.7146
2022-01-05 00:55:00,168.49,168.66,168.42,168.66,408.38,68833.4956,121,294.78,49691.1727
2022-01-05 00:56:00,168.66,168.77,168.63,168.69,604.6,102008.7823,178,315.79,53281.087
2022-01-05 00:57:00,168.71,168.76,168.65,168.71,435.0,73384.0946,78,117.73,19860.9348
2022-01-05 00:58:00,168.7,168.91,168.69,168.89,297.27,50194.5935,125,67.2,11344.6506
2022-01-05 00:59:00,168.9,168.93,168.85,168.91,319.21,53914.3483,92,125.01,21115.1308
2022-01-05 01:00:00,168.91,168.93,168.48,168.48,1056.87,178331.6203,182,233.07,39332.7958
2022-01-05 01:01:00,168.46,168.61,168.46,168.5,322.04,54269.3766,94,202.97,34203.4422
2022-01-05 01:02:00,168.49,168.61,168.49,168.52,412.58,69542.3021,100,166.77,28109.334
2022-01-05 01:03:00,168.52,168.54,168.38,168.43,499.33,84125.9384,160,158.58,26718.6818
2022-01-05 01:04:00,168.41,168.69,168.4,168.66,472.39,79627.4546,141,376.4,63443.352
2022-01-05 01:05:00,168.65,168.66,168.45,168.54,457.13,77052.3922,102,319.44,53846.194
2022-01-05 01:06:00,168.55,168.55,168.47,168.51,321.0,54091.9136,87,92.07,15515.7063
2022-01-05 01:07:00,168.5,168.58,168.4,168.55,500.89,84391.808,112,234.87,39563.2139
2022-01-05 01:08:00,168.55,168.56,168.4,168.4,686.06,115572.9425,115,79.59,13410.8611
2022-01-05 01:09:00,168.43,168.43,168.25,168.27,289.48,48718.8922,101,151.61,25516.3154
2022-01-05 01:10:00,168.27,168.28,168.06,168.21,459.97,77342.9789,154,185.02,31108.8851
2022-01-05 01:11:00,168.16,168.16,168.02,168.08,169.71,28531.2765,49,13.36,2245.5706
2022-01-05 01:12:00,168.08,168.22,168.06,168.16,318.71,53588.8603,106,141.74,23830.4596
2022-01-05 01:13:00,168.2,168.44,168.2,168.37,768.6,129361.8389,161,546.24,91940.9544
2022-01-05 01:14:00,168.4,168.45,168.32,168.43,305.75,51487.5194,99,142.19,23943.2897
2022-01-05 01:15:00,168.43,168.44,168.25,168.4,509.05,85691.9284,99,310.8,52311.1661
